step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
76	0.076	5.14399	49953.3	0	315.015	225.651	7.31908	0	89.9308	175.402	45.9151	16.8732	71.1847	103.844	8454.11	87.8258	2259.81	3.8075	0	3444.84	1987.49	12.5846	3616.31	0	66.4079	144.213	0	436.21	247.682	0	0	326.991	138.384	0
77	0.077	5.14365	49949.9	0	314.229	220.146	9.55014	0	95.5794	167.671	45.1062	21.986	71.6009	106.304	8927.69	44.5515	1107.54	3.50345	0	3514.67	2021.17	18.3456	4405.65	0	43.0631	148.638	0	471.159	255.954	0	0	299.448	142.437	0
78	0.078	5.04272	48969.9	0	312.993	216.082	8.52699	0	96.6639	165.809	38.6519	26.1696	71.3744	108.787	9400.55	24.7638	783.351	3.38722	0	3582.48	2053.1	24.3703	4840.74	0	209.043	141.795	0	519.487	264.234	0	0	322.01	146.917	0
79	0.079	4.88306	47419.4	0	311.337	215.454	5.41018	0	92.8249	170.024	34.9543	28.1486	71.4969	111.243	9869.9	31.8507	1281.5	3.39023	0	3647.73	2083.11	29.0382	4877.45	0	297.069	131.787	0	540.203	272.652	0	0	376.598	150.957	0
80	0.08	4.70319	45672.7	0	312.393	218.414	4.20102	0	85.7192	179.723	39.1746	26.7805	71.3191	113.636	10333.6	64.2336	2464.07	3.88466	0	3710.29	2111.03	31.8187	4599.3	0	157.921	132.476	0	527.277	281.258	0	0	416.428	153.156	0
81	0.081	4.5092	43788.8	0	314.064	224.745	6.95343	0	76.9194	191.242	45.0523	22.7021	70.7961	115.92	11853.1	115.853	4095.05	3.76283	0	4195.68	2136.93	31.6127	4107.58	0	31.8813	148.857	0	508.607	290.043	0	0	399.003	153.113	0
82	0.082	4.28945	41654.8	0	311.722	231.735	10.1201	0	68.8255	201.651	45.8903	17.0809	70.0276	118.218	12304.3	177.195	5892.45	3.1995	0	4252.07	2160.73	28.799	3431.03	0	143.728	160.091	0	499.518	299.055	0	0	352.295	151.774	0
83	0.083	4.06617	39486.6	0	308.387	238.713	8.67217	0	61.8825	208.662	40.387	11.6703	68.3341	120.524	12742.7	236.584	7580.02	3.1549	0	4304.81	2182.03	24.1959	2603.68	0	325.062	154.045	0	497.831	308.074	0	0	338.124	150.393	0
84	0.084	3.88836	37759.9	0	305.974	241.842	5.28997	0	57.8586	208.994	34.317	7.69911	66.081	122.807	13167.1	280.667	8901.01	3.52573	0	4353.72	2201.5	18.7064	1759.02	0	281.698	143.249	0	493.669	317.209	0	0	360.188	148.219	0
85	0.085	3.79844	36886.7	0	302.419	241.371	6.38088	0	56.9039	205.72	38.001	6.10453	64.0793	125.217	13576.1	302.524	9673.65	3.68855	0	4399.04	2218.76	13.8253	1139.4	0	91.0923	137.982	0	493.236	326.415	0	0	387.382	147.962	0
86	0.086	3.74065	36325.5	0	299.494	237.034	11.3788	0	59.5079	201.793	48.8545	7.39611	62.8411	127.518	13968.1	297.859	9786.09	4.18543	0	4440.41	2234.06	10.3101	966.49	0	50.8305	144.329	0	498.83	335.554	0	0	380.724	148.225	0
87	0.087	3.68341	35769.6	0	296.031	232.885	13.7045	0	64.9687	199.574	53.7982	10.9917	62.8663	129.942	14341.7	267.266	9225.39	3.23233	0	4477.58	2247.18	8.71011	1291.74	0	185.132	152.347	0	511.977	344.786	0	0	347.761	148.314	0
88	0.088	3.65895	35532.1	0	293.171	232.862	10.1896	0	72.4068	200.214	47.8392	15.8314	64.5206	132.236	14695.3	216.94	8088.01	2.57364	0	4510.47	2258.13	9.41983	2000.15	0	227.951	155.083	0	526.773	353.991	0	0	334.693	149.105	0
89	0.089	3.66383	35579.4	0	290.24	235.944	5.76342	0	80.1077	201.507	37.2014	21.4888	66.9924	134.526	15028.1	157.568	6559.05	2.98284	0	4539.03	2267.12	11.8437	2930.39	0	102.554	149.789	0	529.905	363.249	0	0	363.812	149.81	0
90	0.09	3.70243	35954.3	0	287.609	240.84	6.51869	0	86.5221	205.424	38.2008	26.8289	69.6319	136.774	15338	100.615	4880.39	4.4239	0	4563.46	2273.52	15.4531	3956.51	0	44.6776	141.806	0	526.661	372.845	0	0	407.233	151.112	0
91	0.091	3.70633	35992.2	0	284.823	246.823	10.9227	0	91.4372	208.776	48.6575	31.247	72.3139	139.027	15623.9	56.8798	3301.05	4.78134	0	4583.15	2277.9	19.5735	4977.01	0	174.31	144.882	0	531.909	382.337	0	0	420.023	154.335	0
92	0.092	3.69248	35857.7	0	280.981	252.747	12.724	0	94.529	210.14	57.6374	33.7379	74.6701	141.192	15885.3	33.6009	2027.5	4.06179	0	4598.18	2280.08	23.0763	5811.58	0	277.908	157.149	0	541.491	391.993	0	0	393.915	156.859	0
93	0.093	3.70391	35968.7	0	277.452	258.333	9.27981	0	96.1783	211.351	54.8482	33.558	76.6404	143.493	16121.4	35.0603	1204.23	2.94634	0	4609.15	2279.96	25.3181	6233.57	0	172.873	164.208	0	551.459	401.615	0	0	363.697	157.188	0
94	0.094	3.72623	36185.5	0	273.73	264.21	5.12328	0	96.3258	211.158	43.6157	31.1196	78.4461	145.643	16333	59.9745	908.06	2.7568	0	4616.02	2277.9	26.103	6095.14	0	37.8391	163.498	0	552.198	411.362	0	0	367.468	154.091	0
95	0.095	3.73756	36295.4	0	271.143	269.41	5.95175	0	96.099	211.196	40.406	26.0951	79.8895	147.715	16518.6	102.155	1148.82	3.76285	0	4618.28	2274.2	25.5046	5401.85	0	121.081	161.637	0	546.509	420.892	0	0	400.193	149.219	0
96	0.096	3.73461	36266.8	0	266.959	274.736	11.5074	0	95.2714	211.863	48.5358	19.6257	80.5851	149.7	16678.7	152.455	1883.88	5.15586	0	4615.75	2268.29	23.0784	4336.79	0	305.635	163.22	0	549.277	430.549	0	0	419.944	145.05	0
97	0.097	3.70719	36000.6	0	263.862	279.278	13.8912	0	93.9073	211.971	57.1383	13.7076	81.1372	151.498	16811	200.544	3005.07	4.53896	0	4609.22	2259.72	19.2529	3153.29	0	292.159	165.876	0	553.639	440.311	0	0	398.056	142.357	0
98	0.098	3.68342	35769.7	0	261.075	281.674	9.652	0	91.401	213.09	58.8852	9.72163	80.9746	153.288	16914.4	237.01	4351.91	2.66802	0	4597.75	2249.01	15.2321	2051.34	0	111.38	169.104	0	555.885	449.976	0	0	366.452	141.416	0
99	0.099	3.63581	35307.4	0	259.444	280.603	4.5866	0	87.6645	214.537	51.376	8.72312	79.9342	155.003	16989.2	256.278	5723.24	2.06356	0	4581.76	2236.11	11.8663	1173.91	0	48.9219	172.915	0	559.409	459.789	0	0	375.981	140.878	0
100	0.1	3.55009	34474.9	0	258.216	279.003	6.87879	0	82.9163	216.18	46.0222	10.9399	78.225	156.625	17089.1	254.323	6902.27	3.58581	0	5206.02	2221.27	9.80689	632.418	0	170.764	176.125	0	559.684	469.684	0	0	427.729	142.791	0
101	0.101	3.43454	33352.9	0	255.118	276.864	12.7073	0	78.8675	219.171	48.4032	15.157	75.8076	158.106	17112.5	232.089	7692.11	4.33058	0	5184.69	2204.57	9.26014	543.574	0	233.492	176.101	0	561.801	479.553	0	0	474.004	146.423	0
102	0.102	3.35618	32591.9	1e-07	3480.76	276.075	13.0152	6.67266e-09	75.8179	223.191	55.2367	20.5677	74.0517	159.531	17111	194.162	7978.95	3.62299	2.48271e-08	5158.6	2186.37	10.1194	957.521	3.23456e-08	122.337	173.335	1.57644e-08	572.359	489.686	5.16756e-08	2.79819e-10	465.435	150.696	3.98036e-10
103	0.103	92.124	894616	2e-07	261.149	278.226	7.02552	2.73722e-08	3409.69	224.308	58.8449	26.0049	73.7505	160.765	17025.8	147.477	7731.47	2.2068	9.94699e-08	5085.36	2181.79	12.3214	1813.19	1.29543e-07	4616.16	17652.4	6.30211e-08	584.376	499.572	2.07767e-07	1.11973e-09	414.895	154.677	1.59215e-09
104	0.104	85.175	827134	3e-07	277.686	282.844	3.35163	6.42174e-08	22196.3	224.682	55.8637	30.7422	75.0684	161.855	18109.3	100.474	11120.9	1.62688	2.24177e-07	5052.31	2191.22	15.0761	2930.44	2.91619e-07	16593.7	52333.7	1.41708e-07	592.291	509.561	4.69644e-07	2.52194e-09	386.59	157.295	3.58657e-09
105	0.105	76.3373	741312	4e-07	329.56	287.047	7.7596	1.19999e-07	52744.5	226.493	49.2071	33.8597	78.0685	162.978	18719	61.9474	21996.2	3.46365	3.9919e-07	5156.14	2219.74	17.5235	4080.85	5.18406e-07	16931	60435.4	2.51758e-07	594.005	519.543	8.3836e-07	4.49006e-09	413.313	159.05	6.38885e-09
106	0.106	72.3921	703000	5e-07	447.442	290.69	14.2241	1.96912e-07	85068.7	231.289	48.387	35.1853	81.2465	164.068	19162.7	39.0476	38251.5	5.31889	6.24706e-07	5246.81	2271.5	19.2393	5100	8.09625e-07	4868.49	30648.3	3.93095e-07	585.643	529.631	1.31458e-06	7.03066e-09	454.833	159.664	1.0012e-08
107	0.107	71.2685	692089	6e-07	636.322	290.864	13.6363	2.96095e-07	111499	238.017	55.0945	34.6214	84.3086	165.198	19855.6	35.8277	57125	4.56304	9.00912e-07	5383.58	2349.11	20.3484	5967.5	1.165e-06	105.696	1691.06	5.65634e-07	574.352	539.603	1.89873e-06	1.01548e-08	457.104	159.579	1.44667e-08
108	0.108	66.6725	647457	7e-07	745.122	287.605	6.92823	4.18347e-07	129414	242.853	60.5164	31.7797	88.4086	166.263	20799.6	53.2879	76207.3	2.6695	1.22784e-06	5562.95	2453.76	20.3809	6868.75	1.58444e-06	3745.92	392.524	7.69275e-07	569.424	549.626	2.59111e-06	1.38776e-08	411.178	158.357	1.97632e-08
109	0.109	60.3103	585674	8e-07	658.671	283.538	2.92984	5.63421e-07	137729	244.291	58.4765	26.5684	92.096	167.241	23323.1	86.747	93402.1	1.53553	1.60535e-06	6564.05	2586.62	19.0877	8304.6	2.06844e-06	18949.4	32455.4	1.00394e-06	583.982	559.674	3.39256e-06	1.82016e-08	384.247	157.212	2.59244e-08
110	0.11	49.0644	476464	9e-07	537.585	281.378	6.59395	7.33377e-07	140812	243.81	52.0908	20.6624	95.0985	168.072	25012.1	129.898	107851	2.36706	2.03325e-06	6911.35	2747.75	17.4773	11024.2	2.61842e-06	24798	90862.6	1.2695e-06	613.976	569.752	4.30469e-06	2.31272e-08	416.881	156.877	3.29644e-08
111	0.111	41.0525	398661	1e-06	673.911	281.823	12.3426	9.32371e-07	143215	241.081	49.8529	15.3163	97.8594	168.746	26939.8	175.595	118888	3.53524	2.51122e-06	7313.2	2936.27	16.2295	15490.4	3.23671e-06	12400.4	113438	1.56586e-06	636.197	579.5	5.33079e-06	2.86671e-08	476.697	157.885	4.08913e-08
112	0.112	41.0933	399057	1.1e-06	1240.97	282.738	12.4434	1.16489e-06	147200	238.755	55.9139	12.1823	99.533	169.307	29093.1	215.096	125415	3.46378	3.03881e-06	7769.61	3150.69	15.821	21519.6	3.9274e-06	951.148	75352.8	1.89296e-06	636.124	589.16	6.47561e-06	3.47977e-08	508.505	158.921	4.97197e-08
113	0.113	45.5497	442333	1.2e-06	1709.78	283.428	6.90595	1.43263e-06	152096	234.877	64.202	11.9875	100.416	169.652	31457.9	241.464	126009	1.92526	3.61554e-06	8279.09	3388.76	16.464	28653.2	4.69551e-06	702.908	18628.6	2.2506e-06	621.429	598.209	7.7465e-06	4.15211e-08	475.591	159.464	5.94424e-08
114	0.114	48.2278	468340	1.3e-06	1262.96	282.528	3.00997	1.7303e-06	155065	231.786	65.2128	15.2243	100.628	169.907	34026	249.7	120484	1.70273	4.24088e-06	8839.22	3649.21	17.8856	36705.9	5.54769e-06	8390.29	1329.89	2.63852e-06	616.847	606.918	9.1534e-06	4.88464e-08	422.175	159.539	7.00447e-08
115	0.115	45.8151	444910	1.4e-06	645.481	279.696	7.29225	2.04544e-06	153567	230.492	57.108	20.7668	99.4332	170.019	36790	237.056	108821	3.24354	4.91435e-06	9447.38	3932.09	19.0284	45922.2	6.49164e-06	14279.3	8527.73	3.05656e-06	625.557	615.385	1.07089e-05	5.67394e-08	409.226	158.35	8.15017e-08
116	0.116	43.2882	420372	1.5e-06	381.435	275.817	14.7874	2.36687e-06	147617	232.39	47.205	26.8875	97.4638	170.01	39734.8	207.311	92067.2	3.57298	5.63516e-06	10099.1	4236.34	19.5801	56444.5	7.53574e-06	7589.1	42864	3.50476e-06	642.527	623.68	1.24272e-05	6.5197e-08	445.891	156.661	9.37641e-08
117	0.117	41.4815	402827	1.6e-06	317.58	271.879	15.7464	2.67766e-06	137154	237.97	46.7078	31.6482	94.6056	170.076	42847.6	166.93	72619.2	2.21387	6.40295e-06	10790.2	4559.98	19.652	67395.6	8.68795e-06	310.334	63531.9	3.98306e-06	647.927	632.136	1.43247e-05	7.42213e-08	485.977	153.067	1.0671e-07
118	0.118	43.1593	419120	1.7e-06	499.179	271.328	9.08168	2.96723e-06	124229	246.443	57.8974	33.8614	92.0958	170.053	46112.5	123.671	53458.5	0.94821	7.21805e-06	11517.7	4901.22	19.658	76863.7	9.95388e-06	362.925	45330.7	4.49152e-06	632.874	640.747	1.64172e-05	8.38143e-08	478.288	149.557	1.20351e-07
119	0.119	48.3913	469928	1.8e-06	1700.7	274.038	4.23023	3.23743e-06	111526	255.226	66.0071	33.6699	91.3324	169.986	49509.1	84.4659	36491.5	1.93028	8.07959e-06	12273.1	5258.94	19.3582	83589.5	1.13352e-05	8706.36	12581.8	5.03012e-06	617.922	648.898	1.87188e-05	9.39718e-08	441.128	147.851	1.34654e-07
120	0.12	51.0402	495651	1.9e-06	6383.03	278.772	7.43466	3.50523e-06	99992.3	261.9	58.4193	31.1815	91.9844	169.764	52999.4	56.8745	23106.3	3.57536	8.988e-06	13039.6	5630.62	19.0886	86763	1.28302e-05	19563.1	4748.78	5.59866e-06	625	656.736	2.12385e-05	1.04703e-07	428.575	150.381	1.49569e-07
121	0.121	51.3493	498653	2e-06	11609.6	285.084	14.2399	3.78959e-06	85413.8	267.193	46.5324	27.5667	93.8569	169.635	56497.2	45.3864	13546.4	3.93323	9.94372e-06	13768	6014.39	18.6008	85306.7	1.44353e-05	15433.2	9261.58	6.19733e-06	652.722	664.561	2.39791e-05	1.15951e-07	468.735	156.245	1.65097e-07
122	0.122	53.0773	515434	2.1e-06	6491.46	290.743	15.0362	4.10371e-06	63489	270.404	48.0172	23.2886	96.3574	169.358	59977.6	52.3943	7290.86	2.34988	1.09472e-05	14431.9	6408.46	17.701	78429.9	1.61446e-05	3130.86	39836.7	6.82625e-06	665.716	672.358	2.69577e-05	1.27725e-07	527.979	164.122	1.81242e-07
123	0.123	54.3027	527333	2.2e-06	1866.42	293.787	8.448	4.4874e-06	43083.7	270.208	63.2648	19.0611	98.6206	169.081	63515.1	76.1985	3591.73	1.19987	1.19992e-05	15082	6811.08	17.0317	66530.5	1.79507e-05	255.892	60838.7	7.48571e-06	664.672	680.518	3.01929e-05	1.39934e-07	542.619	174.015	1.98042e-07
124	0.124	57.3361	556791	2.3e-06	597.485	292.315	3.5765	4.97407e-06	25414.6	268.768	72.2583	15.2676	101.377	168.563	67106.9	111.78	1888.91	2.14481	1.31002e-05	15734.1	7219.99	17.0378	51384.6	1.9844e-05	4868.4	45664.5	8.17562e-06	650.346	688.689	3.36962e-05	1.52493e-07	498.958	182.844	2.15376e-07
125	0.125	62.3567	605546	2.4e-06	377.93	290.403	6.53479	5.5826e-06	12455.5	263.246	64.1209	12.0687	104.16	168.099	70731.8	152.575	1705.91	3.95711	1.42506e-05	16386.8	7633.53	17.6203	35487.6	2.18142e-05	16796.9	12232.2	8.89588e-06	641.959	697.082	3.74811e-05	1.65468e-07	453.705	190.968	2.33261e-07
126	0.126	66.287	643713	2.5e-06	351.842	289.195	13	6.31463e-06	6332.14	255.658	48.8946	10.5147	107.037	167.421	74373.1	191.04	2459.56	4.03471	1.54503e-05	17035.3	8049.29	19.4342	21189.6	2.38494e-05	17206.7	829.175	9.6467e-06	652.658	705.347	4.15637e-05	1.78978e-07	462.917	196.27	2.5182e-07
127	0.127	67.1238	651839	2.6e-06	380.384	290.105	13.3992	7.15821e-06	5490.44	248.557	45.748	11.0428	110.072	166.811	78028.7	219.002	2754.06	2.28277	1.67e-05	17645	8464.89	22.5807	10462.3	2.59451e-05	5464.19	3717.42	1.04277e-05	672.485	713.631	4.59605e-05	1.93009e-07	509.711	198.407	2.71039e-07
128	0.128	66.3485	644310	2.7e-06	443.375	292.996	8.05383	8.11388e-06	9107.31	244.715	61.2964	13.5681	111.593	166.103	80743.9	230.9	2559.12	1.51912	1.80009e-05	18270.6	8878.3	26.6979	4724.42	2.81174e-05	159.669	31752.8	1.12387e-05	682.545	721.805	5.06755e-05	2.07736e-07	532.677	197.003	2.90875e-07
129	0.129	61.3392	595665	2.8e-06	549.735	295.91	4.27749	9.15831e-06	22220.7	246.896	79.122	18.0653	111.862	165.483	79708.7	223.596	3062.9	2.68509	1.93541e-05	18898.2	9296.28	30.7826	3341.78	3.03809e-05	2037.11	58354.3	1.20806e-05	677.256	729.63	5.53262e-05	2.23119e-07	494.187	193.353	3.11465e-07
130	0.13	56.3252	546974	2.9e-06	716.675	299.783	6.94214	1.02615e-05	44949.7	254.868	79.3834	23.6727	110.233	164.844	78686	199.033	4354.39	4.42892	2.07602e-05	19527.7	9717.02	33.034	4205.01	3.27316e-05	12881.1	52228.8	1.29525e-05	666.193	737.242	5.92532e-05	2.39339e-07	441.2	188.592	3.32928e-07
131	0.131	53.621	520713	3e-06	959.632	304.014	12.6053	1.14019e-05	74552.6	264.879	62.8593	28.7633	108.432	164.146	77678.1	162.489	6228.35	4.00272	2.22186e-05	20157.7	10140.6	33.2662	9290.34	3.5165e-05	17319.6	21197.7	1.38547e-05	669.119	744.769	6.33734e-05	2.56271e-07	446.717	182.661	3.55335e-07
132	0.132	52.1296	506230	3.1e-06	1333.4	306.688	13.4257	1.25694e-05	107092	273.979	49.1281	31.8266	106.574	163.511	76676.9	121.572	8438.48	1.81081	2.37274e-05	20782	10565	30.5817	19241.1	3.76891e-05	7844.64	1714.78	1.47876e-05	686.557	752.547	6.76989e-05	2.73988e-07	515.54	178.973	3.78838e-07
133	0.133	47.8339	464515	3.2e-06	1767.8	308.849	7.72178	1.37646e-05	138111	279.519	56.9053	32.1864	105.697	162.92	75682.9	83.9661	10860.2	1.06472	2.52894e-05	21397.2	10990.1	25.5644	33114.3	4.032e-05	193.041	2613.78	1.57499e-05	710.797	760.418	7.22433e-05	2.92468e-07	573.828	178.002	4.03516e-07
134	0.134	41.4545	402565	3.3e-06	1877.61	309.339	4.28481	1.49668e-05	164152	282.252	78.1078	29.0887	106.065	162.444	74667.5	56.295	13605.4	2.32553	2.69039e-05	22564.4	11414.8	19.676	49220	4.30808e-05	337.4	21113.7	1.6743e-05	720.824	768.395	7.70096e-05	3.11626e-07	549.771	179.359	4.29513e-07
135	0.135	32.7817	318344	3.4e-06	1479.32	307.901	8.72194	1.61825e-05	181815	279.535	87.5052	24.149	107.31	162.047	73660.4	42.0698	16773.4	4.10896	2.85707e-05	23148.9	11838.5	14.4432	65490.6	4.59982e-05	8684.17	47130.3	1.77663e-05	712.757	776.687	8.19936e-05	3.31517e-07	488.629	182.558	4.56832e-07
136	0.136	25.6528	249115	3.5e-06	955.625	305.927	15.7763	1.74169e-05	188643	273.905	76.2502	18.7446	108.156	161.686	72643.9	44.1354	20489.4	4.12313	3.02874e-05	23722.6	12259.1	11.0473	80086.9	4.90961e-05	16987.4	48417.9	1.88185e-05	704.407	785.281	8.71914e-05	3.52114e-07	456.919	188.114	4.85489e-07
137	0.137	24.8181	241009	3.6e-06	1010.74	304.585	15.6465	1.86633e-05	183982	266.513	56.0874	13.7351	109.259	161.282	71624.2	61.6759	25014.3	1.84297	3.2053e-05	24288.9	12676.4	10.1327	91447.3	5.24011e-05	11598.4	23530.6	1.99008e-05	712.978	793.996	9.26003e-05	3.73562e-07	487.098	195.214	5.15443e-07
138	0.138	29.3803	285312	3.7e-06	403.83	304.109	8.52139	1.98988e-05	169155	260.517	51.911	10.5647	111.016	160.964	70744.7	92.4253	30692.4	0.923111	3.38662e-05	24852.9	13114.1	11.8043	98858.5	5.59394e-05	1749.56	3925.59	2.10109e-05	739.781	803.038	9.83919e-05	3.95732e-07	534.878	200.112	5.4681e-07
139	0.139	31.3194	304143	3.8e-06	327.696	307.022	3.54356	2.108e-05	147323	258.761	65.0692	10.0103	112.507	160.73	69871.2	130.894	37653.7	2.81958	3.57253e-05	25408.1	13546.6	15.6437	100496	5.97326e-05	311.382	1813.74	2.21491e-05	757.34	812.378	0.000104383	4.18668e-07	533.949	202.889	5.79453e-07
140	0.14	32.9369	319850	3.9e-06	302.132	311.303	6.90026	2.21941e-05	121110	260.552	77.3859	11.4571	113.912	160.561	69004.7	169.528	45709.7	4.92114	3.76291e-05	25951.2	13973.8	21.105	96419.4	6.37984e-05	6589.77	20073.9	2.33182e-05	740.213	822.123	0.000109612	4.42334e-07	486.776	204.177	6.132e-07
